"c_GSM555189","c_GSM555190","c_GSM555191","c_GSM555192","c_GSM555193","d_GSM555200","d_GSM555201","d_GSM555202","d_GSM555203","d_GSM555204"
"54161",11.1360775459676,11.1039308601022,11.0563641384851,11.2251475320746,11.0811471500706,10.9096482892596,10.9199024203902,10.9778291012651,11.1983271252197,11.089438696344
"11972",11.94061089672,12.1262591385443,12.1542855744119,12.0500451987339,12.0873651596951,12.162670860473,12.1197081269698,11.9457373353095,12.2025604476185,12.2835031975697
"57437",11.8323150986049,11.7254763799387,11.839900128396,11.9421931974541,11.8575529101248,12.0269586244546,11.969015358174,11.9807795136141,11.9135628270412,11.935174904438
"100678",8.66162155925437,8.72193698168447,8.57222902167642,8.36975213766886,8.64415125525204,8.71293270609399,8.48700251832954,8.56036906036328,9.10501901882938,8.53262147578898
"60409",10.5609708679301,10.7096983575656,10.7047536687892,10.8029436498815,10.763567927246,10.4915761048685,10.4063588608358,10.2855249216941,10.6165305427673,10.4379866162
"13481",10.3687337014395,10.3856743508909,10.3270105549474,10.3838508793604,10.4748396150034,10.2032717804102,10.3209652553679,10.3773813585256,10.3363860519289,10.20898536454
"19173",11.8968360503888,11.9849393466645,11.8672814894425,11.8543125043893,11.9655539931814,11.7307221915215,11.8627935268015,11.9078102407897,11.8887642290098,11.8556563031846
"52585",9.99395954416808,10.2369783261803,10.2284992425261,10.6185284174744,10.0855343957342,10.2961341421272,10.1267432266501,9.93926385114542,10.1220748615647,10.1140605701623
"19042",11.5276527548112,11.6421374511552,11.6982575586082,11.4762654501797,11.6250643012333,11.5652604486324,11.6848491944488,11.6645427981244,11.7032216881481,11.5257892375681
"66340",12.4356943150244,12.6385045301107,12.6195993654449,12.7176188250756,12.5551492900048,12.477802688023,12.3628642060612,12.652702358808,12.597530155747,12.5360918550403
"17222",10.2298547108083,10.3592151261457,10.1606439376003,10.0763481435476,10.3098066167035,10.2714115308507,9.97635286567552,10.3809277273516,10.2225666711876,10.3593830332635
"94067",11.1260472089402,11.2538065193769,11.3253122942216,11.3659995692394,11.6337061346485,11.2522407809229,11.2426535187637,11.2209575604867,11.4316873307877,11.2640234404917
"65246",10.4551689303532,10.3281625248329,10.3359066360091,10.1722268628974,10.3488568196455,10.3825365711625,10.2165709717632,10.5788268036527,10.2550288974971,10.400464374532
"18107",11.3854643004453,11.2670424755819,11.2100682589233,11.2796267532698,11.2854291117436,11.2848161939414,11.1983271252197,11.6813793903871,11.3766245010617,11.1946559455755
"11793",9.65161623360375,9.77643825699906,9.9043399416678,9.81905566715393,9.73959284121211,9.8647246598141,9.77661928914667,9.82007999050885,9.67974088145218,10.0382811633747
"76784",10.1274923039156,9.96351955087287,10.1333472249053,10.0955690697246,10.3541412870791,10.1552231724721,10.0251472073026,10.1346676337562,9.90828429415138,10.0842736342761
"68365",12.4990733314258,12.477802688023,12.6373873937585,12.530925792274,12.4941608920991,12.6561947393556,12.8545783873204,12.6977079407832,12.7904229978637,12.7176188250756
"19156",13.3754759585339,13.4419335150764,13.4697999564882,13.3789604571523,13.3866242711751,13.5852837307391,13.5740356708708,13.6312713603914,13.4502771943963,13.5419534488772
"67128",11.3303485920369,11.3891874592739,11.5020080433377,11.5790514014126,11.3594989177882,11.489743791339,11.4724901243618,11.5223917397524,11.5363794228491,11.3057752021223
"72739",9.826733003478,9.81716159905562,10.1115658921001,10.0768832815301,9.90695177534575,9.86881335688881,9.82640337663121,9.88798545650512,9.97470548891378,10.0047424608173
"94064",11.4333063625551,11.5065541244934,11.5543810627315,11.5100778254166,11.6180639681164,11.5639915925492,11.4032062867168,11.529660140137,11.5518774778946,11.4826159379875
"13383",11.2775237079367,11.3246171987199,11.3850819905194,11.3126488731767,11.2810916370009,11.4095325474207,11.4923206155657,11.5774855310435,11.4721483475736,11.4603738821499
"12330",13.0325420907319,12.8205285446557,12.9399264472558,12.9399264472558,13.0263406510335,13.1955400298813,13.0922985735111,13.0711757627109,13.1495756633998,13.1011764968785
"67819",11.5185289524726,11.2951033905092,11.3697228077962,11.2158361883055,11.3739260166746,11.8520265303886,11.7536028333929,11.8353842047096,11.5802345241001,11.6150039726068
"22375",11.1645891724135,11.0396684729493,11.2810916370009,11.3567945222127,11.0255336033362,10.933156851409,11.2561808187588,10.8886390046128,11.2450113645974,11.3195846440044
"26440",12.2522561741201,12.317211994679,12.2190316917048,12.3453887142301,12.3351004650474,12.4205499149725,12.3873039624787,12.2273815646705,12.2282517942755,12.2061583310942
"20224",11.6455568938907,11.5585804734832,11.6531017973536,11.5581796118828,11.6221318219923,11.5155889244128,11.6824842379791,11.6932304110822,11.7101990068878,11.6072312510425
"23881",11.8487395748041,11.8195384846189,11.9193365500295,12.0433422325966,11.868533403342,11.9836411139639,11.9910665456495,12.0239220092536,11.9430818346589,11.8846358101156
"105348",13.5370907877434,13.6932656397523,13.6735088112267,13.6965004240736,13.6221002300661,13.6238616886103,13.577798235578,13.6238616886103,13.7214497556872,13.6819513592898
"209318",11.4952665176553,11.438105685832,11.3751725280626,11.5039139067605,11.480459305752,11.3540237463823,11.1504122065092,11.4277099532355,11.4621646200894,11.6824842379791
"67437",12.7496385729521,12.6269996368878,12.4999194993927,12.5551492900048,12.5134025473,12.6482491386393,12.6324749380805,12.6823257934764,12.6203301910232,12.5737684262545
